split,model,calibrated,coverage,metric,mean,std,min,max,n_seeds
lab_heldout_haib,axis_guard_full,False,0.2,auprc,0.4470476837842694,0.14339280248749658,0.29405349255556273,0.5783724995128465,3
lab_heldout_haib,axis_guard_full,False,0.2,auroc,0.7037827887455008,0.05769060770799703,0.6395891690009338,0.7512935729847494,3
lab_heldout_haib,axis_guard_full,False,0.2,ece,0.10878666390338515,0.03897507980019905,0.08245809084902972,0.15356046681602795,3
lab_heldout_haib,axis_guard_full,False,0.2,brier,0.1875876759133669,0.02114140597322405,0.1734623789402265,0.2118931790241029,3
lab_heldout_haib,axis_guard_full,False,0.4,auprc,0.5422769633502759,0.061746041160420255,0.48645780371379643,0.608601900281163,3
lab_heldout_haib,axis_guard_full,False,0.4,auroc,0.706555039537221,0.017250956419738443,0.6870713908915069,0.7198865816739862,3
lab_heldout_haib,axis_guard_full,False,0.4,ece,0.10939307920110057,0.020737851848382994,0.09672545302043957,0.1333253846841264,3
lab_heldout_haib,axis_guard_full,False,0.4,brier,0.21520929019024237,0.008291607783306587,0.20966283301775998,0.2247410962346144,3
lab_heldout_haib,axis_guard_full,False,0.6,auprc,0.5755954310364857,0.048307566648784696,0.5296329518906555,0.6259483508392226,3
lab_heldout_haib,axis_guard_full,False,0.6,auroc,0.6930784813164288,0.017040184907872846,0.673403093721565,0.7030812324929973,3
lab_heldout_haib,axis_guard_full,False,0.6,ece,0.10455617951873426,0.035673349737446076,0.07584418351964803,0.14449154118904695,3
lab_heldout_haib,axis_guard_full,False,0.6,brier,0.22524111652475556,0.016590273800112916,0.21046377588855866,0.2431872409656085,3
lab_heldout_haib,axis_guard_full,False,0.8,auprc,0.6111162565323689,0.016020535802371394,0.5966398769108361,0.6283285825054812,3
lab_heldout_haib,axis_guard_full,False,0.8,auroc,0.6925053669297307,0.005460264399837359,0.686231774397305,0.696186235680959,3
lab_heldout_haib,axis_guard_full,False,0.8,ece,0.10799657072469661,0.045253658262118114,0.060702959450007095,0.15088861825590935,3
lab_heldout_haib,axis_guard_full,False,0.8,brier,0.23267012739148396,0.015383190434243736,0.2188887859031251,0.24926639023620714,3
lab_heldout_haib,axis_guard_full,False,1.0,auprc,0.6240704973607342,0.0014574255464029275,0.6225352744374397,0.62543510727728,3
lab_heldout_haib,axis_guard_full,False,1.0,auroc,0.6802790616246499,0.000271753124163149,0.6800966386554621,0.6805913865546218,3
lab_heldout_haib,axis_guard_full,False,1.0,ece,0.10865461217275126,0.05307574863719325,0.052189443012333074,0.15752208461702544,3
lab_heldout_haib,axis_guard_full,False,1.0,brier,0.23603794512247697,0.012325190990372846,0.22517695776017596,0.2494333335352684,3
lab_heldout_haib,axis_guard_full,True,0.2,auprc,0.4966000318089246,0.04523111759903845,0.45626031310459847,0.5454993937742539,3
lab_heldout_haib,axis_guard_full,True,0.2,auroc,0.7509743348443253,0.020992742049737455,0.7268698623185954,0.7652460354477612,3
lab_heldout_haib,axis_guard_full,True,0.2,ece,0.1025335571265112,0.012261487290472549,0.08870378766919743,0.11207468977617308,3
lab_heldout_haib,axis_guard_full,True,0.2,brier,0.18652206981381547,0.010120642210635467,0.17484035872611176,0.19264685898241246,3
lab_heldout_haib,axis_guard_full,True,0.4,auprc,0.5486196233767234,0.03595481811215344,0.5143789411522011,0.586072959990816,3
lab_heldout_haib,axis_guard_full,True,0.4,auroc,0.7197058471222201,0.014964427938323414,0.7025612183092498,0.7301437393669039,3
lab_heldout_haib,axis_guard_full,True,0.4,ece,0.10038186280181084,0.026321763732652104,0.0743325248271698,0.12696784585929996,3
lab_heldout_haib,axis_guard_full,True,0.4,brier,0.21346482066775305,0.008292149327572128,0.2066002161766293,0.22267792254278554,3
lab_heldout_haib,axis_guard_full,True,0.6,auprc,0.587405785565069,0.022312579047486656,0.5661713623316236,0.6106592797129606,3
