split_name,split,assay,tf,label,n
family_heldout_zinc_finger,valid,TF ChIP-seq,GATA2,0,102
family_heldout_zinc_finger,valid,TF ChIP-seq,GATA2,1,86
family_heldout_zinc_finger,valid,TF ChIP-seq,JUND,0,111
family_heldout_zinc_finger,valid,TF ChIP-seq,JUND,1,117
family_heldout_zinc_finger,valid,TF ChIP-seq,MAX,0,107
family_heldout_zinc_finger,valid,TF ChIP-seq,MAX,1,101
family_heldout_zinc_finger,valid,TF ChIP-seq,MYC,0,88
family_heldout_zinc_finger,valid,TF ChIP-seq,MYC,1,103
family_heldout_zinc_finger,valid,TF ChIP-seq,SPI1,0,88
family_heldout_zinc_finger,valid,TF ChIP-seq,SPI1,1,99
