split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,tiny_cnn,False,tf_family,bhlh_zip,395.0,0.4936708860759494,0.1635172873850297,0.06384526104961014,0.8400512820512821,0.8126094431394706
iid,tiny_cnn,False,tf_family,bzip,200.0,0.535,0.1644208205491251,0.06273458000272511,0.8342880112551502,0.8435893987532499
iid,tiny_cnn,False,tf_family,ets,206.0,0.4368932038834951,0.19946329060945833,0.11189438323083434,0.7639846743295019,0.6872935149061314
iid,tiny_cnn,False,tf_family,gata,402.0,0.5049751243781094,0.2014176195836058,0.1195592778591226,0.7628289229398223,0.7013141185424343
iid,tiny_cnn,False,tf_family,zinc_finger,397.0,0.5163727959697733,0.16362976185412687,0.05975512177530929,0.8339939024390244,0.8140322203160667
iid,tiny_cnn,True,assay,TF ChIP-seq,1600.0,0.5,0.17803103447585264,0.050060222641812584,0.8087890624999999,0.7766854233215879
iid,tiny_cnn,True,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.17049843533389283,0.04466077750802871,0.822466641381926,0.7966012242549046
iid,tiny_cnn,True,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.19919405111278732,0.09501841539261233,0.7667590153510765,0.7082035217872817
iid,tiny_cnn,True,species,Homo sapiens,1600.0,0.5,0.17803103447585264,0.050060222641812584,0.8087890624999999,0.7766854233215879
iid,tiny_cnn,True,tf_family,bhlh_zip,395.0,0.4936708860759494,0.16178772787156726,0.07738737200148556,0.8400512820512821,0.8126094431394706
iid,tiny_cnn,True,tf_family,bzip,200.0,0.535,0.16530875439729822,0.08299437393082168,0.8342880112551502,0.8435893987532499
iid,tiny_cnn,True,tf_family,ets,206.0,0.4368932038834951,0.19941283529771991,0.08842596243929143,0.7639846743295019,0.6872935149061314
iid,tiny_cnn,True,tf_family,gata,402.0,0.5049751243781094,0.2039399626674335,0.11263882467325545,0.7628289229398223,0.7013141185424343
iid,tiny_cnn,True,tf_family,zinc_finger,397.0,0.5163727959697733,0.1632716441032669,0.05712759446486862,0.8339939024390244,0.8140322203160667
iid,axis_guard_cnn,False,assay,TF ChIP-seq,1600.0,0.5,0.1747489595154673,0.08016917336366533,0.825559375,0.7965816688927234
iid,axis_guard_cnn,False,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.1733068277622265,0.09291990172150996,0.8302014734107968,0.8054855231475372
iid,axis_guard_cnn,False,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.1788006630126675,0.07553365115364571,0.8160141702243618,0.7718539580230526
