split,split_type,holdout,model,calibrated,metric,mean,std,min,max,n_seeds
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,auprc,0.6993205856135352,0.011550673463844755,0.6925714783246114,0.7126578306900506,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,auroc,0.7262478991596638,0.007155173745278201,0.7198834033613445,0.7339926470588235,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,ece,0.15572683640093202,0.034534900680545114,0.11611731216377294,0.17952829181454258,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,brier,0.2419456122202568,0.015699650723458036,0.22393693320347252,0.25275124095900636,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,worst_group_auprc,0.6925816674023314,0.014033543044368229,0.6809561253945389,0.7081707061064763,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,auprc,0.6993205856135352,0.011550673463844755,0.6925714783246114,0.7126578306900506,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,auroc,0.7262478991596638,0.007155173745278201,0.7198834033613445,0.7339926470588235,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,ece,0.09042142118276501,0.0466261230163954,0.03793302705093054,0.12704452515817616,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,brier,0.2228248213167602,0.012301642715503231,0.20954084313460833,0.23382368500345838,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,worst_group_auprc,0.6925816674023314,0.014033543044368229,0.6809561253945389,0.7081707061064763,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auprc,0.6954547080744161,0.006019540387605169,0.6885150146036347,0.6992641978234341,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auroc,0.7338473389355742,0.007595519330362582,0.725077731092437,0.7383434873949579,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,ece,0.1360534041877607,0.020614569508872752,0.11860132484446799,0.158798330084165,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,brier,0.2284968357164271,0.005800212460812926,0.22466003937245346,0.23516935946013817,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,worst_group_auprc,0.693979228484013,0.0048214864626320835,0.6885150146036347,0.697635189693801,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,auprc,0.6954547080744161,0.006019540387605169,0.6885150146036347,0.6992641978234341,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,auroc,0.7338473389355742,0.007595519330362582,0.725077731092437,0.7383434873949579,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,ece,0.09540730270835185,0.01208103641345807,0.0857566160237096,0.10895615599274626,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,brier,0.2171892772237626,0.0043479671449627895,0.21395515646880972,0.22213202031317403,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,worst_group_auprc,0.693979228484013,0.0048214864626320835,0.6885150146036347,0.697635189693801,3
