seed,split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
13,lab_heldout_haib,tiny_cnn,False,1.0,1952.0,0.5122950819672131,0.22354974054754892,0.08198465039709306,0.6987079831932772,0.6453562301492957
13,lab_heldout_haib,tiny_cnn,False,0.8,1562.0,0.4910371318822023,0.21661346576495952,0.07692061056515319,0.7179093585233656,0.641877902178924
13,lab_heldout_haib,tiny_cnn,False,0.6,1171.0,0.4551665243381725,0.2074296650689344,0.06713036388591452,0.7348009433795809,0.6277940618214339
13,lab_heldout_haib,tiny_cnn,False,0.4,781.0,0.43021766965428937,0.1996288814331556,0.08210580650044463,0.7577915997859819,0.6221403038800613
13,lab_heldout_haib,tiny_cnn,False,0.2,390.0,0.41025641025641024,0.18452036368509153,0.1359469276208144,0.7823913043478261,0.6163633499169953
13,lab_heldout_haib,tiny_cnn,True,1.0,1952.0,0.5122950819672131,0.22812428691808836,0.10202493441797832,0.6987079831932772,0.6453562301492957
13,lab_heldout_haib,tiny_cnn,True,0.8,1562.0,0.47695262483994877,0.22258857327103238,0.08838497066574862,0.7127286766940764,0.6301347863288644
13,lab_heldout_haib,tiny_cnn,True,0.6,1171.0,0.4269854824935952,0.2129747451226265,0.06626428928869176,0.7266646795827124,0.6058880790861463
13,lab_heldout_haib,tiny_cnn,True,0.4,781.0,0.37772087067861715,0.19709122958828593,0.06766529254557359,0.7499337378810073,0.5864021546528946
13,lab_heldout_haib,tiny_cnn,True,0.2,390.0,0.31025641025641026,0.17740767320393405,0.10291372210613564,0.7956926480076193,0.5682079162085543
13,lab_heldout_haib,axis_guard_no_cf,False,1.0,1952.0,0.5122950819672131,0.2255357629786428,0.04960381272477937,0.6808377100840336,0.6271708804405449
13,lab_heldout_haib,axis_guard_no_cf,False,0.8,1562.0,0.5076824583866837,0.21948605181149494,0.05875437718156662,0.6976035433580894,0.6300426875602088
13,lab_heldout_haib,axis_guard_no_cf,False,0.6,1171.0,0.5149444918872759,0.21180234499140269,0.07504630433657962,0.7008604279074112,0.6308131293079979
13,lab_heldout_haib,axis_guard_no_cf,False,0.4,781.0,0.5019206145966709,0.20986251687695456,0.100962955824239,0.701356828078275,0.6170364061849274
13,lab_heldout_haib,axis_guard_no_cf,False,0.2,390.0,0.4717948717948718,0.2190815912632597,0.15371904323498412,0.6967602363866611,0.5891102267791749
13,lab_heldout_haib,axis_guard_no_cf,True,1.0,1952.0,0.5122950819672131,0.22564255985159518,0.06436772493994088,0.6808377100840336,0.6271708804405449
13,lab_heldout_haib,axis_guard_no_cf,True,0.8,1562.0,0.5044814340588989,0.2192248663026292,0.06938537804513087,0.6992197235010953,0.6291284427709583
13,lab_heldout_haib,axis_guard_no_cf,True,0.6,1171.0,0.46968403074295473,0.21199510595481216,0.05637893067680726,0.7149011857707509,0.6125068782951922
13,lab_heldout_haib,axis_guard_no_cf,True,0.4,781.0,0.42893725992317544,0.2060632308936147,0.07222177194774783,0.7328492068803961,0.5920412988027155
13,lab_heldout_haib,axis_guard_no_cf,True,0.2,390.0,0.35384615384615387,0.18820160269794453,0.11265850595917365,0.7692661605705085,0.5625930363920858
13,lab_heldout_haib,axis_guard_no_resid,False,1.0,1952.0,0.5122950819672131,0.22543001723108153,0.05778949982944695,0.6793718487394957,0.623841926863404
13,lab_heldout_haib,axis_guard_no_resid,False,0.8,1562.0,0.5096030729833547,0.21910400751620696,0.06179595545468503,0.6950926302530931,0.6266957693128801
13,lab_heldout_haib,axis_guard_no_resid,False,0.6,1171.0,0.5046968403074296,0.21058199048599976,0.07803936126418444,0.703923799521559,0.6226094179646116
13,lab_heldout_haib,axis_guard_no_resid,False,0.4,781.0,0.4827144686299616,0.20852969436268484,0.09828421970526478,0.7117879559839273,0.6054959047953643
13,lab_heldout_haib,axis_guard_no_resid,False,0.2,390.0,0.43846153846153846,0.20975501390406967,0.14942951926436177,0.719912414216668,0.570452169142504
13,lab_heldout_haib,axis_guard_no_resid,True,1.0,1952.0,0.5122950819672131,0.22618697241488633,0.0663400784069815,0.6793718487394957,0.623841926863404
13,lab_heldout_haib,axis_guard_no_resid,True,0.8,1562.0,0.501280409731114,0.21992568730641013,0.0685501751287702,0.6973721098372507,0.6231359318798311
13,lab_heldout_haib,axis_guard_no_resid,True,0.6,1171.0,0.46797608881298036,0.2131027303106369,0.059176150487109586,0.7129061170929456,0.6061569988274633
13,lab_heldout_haib,axis_guard_no_resid,True,0.4,781.0,0.4199743918053777,0.20579734136091443,0.07040818243028456,0.7291296505680289,0.5779276870520693
13,lab_heldout_haib,axis_guard_no_resid,True,0.2,390.0,0.3384615384615385,0.18828827386748098,0.09890189437049693,0.762097721400047,0.5348282407740771
13,lab_heldout_haib,axis_guard_no_adv,False,1.0,1952.0,0.5122950819672131,0.2254154594403824,0.04810796707456353,0.6791050420168068,0.6251742429739077
13,lab_heldout_haib,axis_guard_no_adv,False,0.8,1562.0,0.5083226632522407,0.2192278848705854,0.05225383566165398,0.6953010206759027,0.6279752462868886
13,lab_heldout_haib,axis_guard_no_adv,False,0.6,1171.0,0.5089666951323655,0.21011301876488717,0.07306506528012476,0.7030639042894661,0.6271104829664317
13,lab_heldout_haib,axis_guard_no_adv,False,0.4,781.0,0.4878361075544174,0.2092098386093918,0.0985162877948733,0.710511811023622,0.6115979525133104
13,lab_heldout_haib,axis_guard_no_adv,False,0.2,390.0,0.44871794871794873,0.21329484531151144,0.1533772221551492,0.7183521594684386,0.5825624213185759
13,lab_heldout_haib,axis_guard_no_adv,True,1.0,1952.0,0.5122950819672131,0.22581113529664806,0.061288201555902096,0.6791050420168068,0.6251742429739077
13,lab_heldout_haib,axis_guard_no_adv,True,0.8,1562.0,0.5019206145966709,0.21898677155161408,0.06249254166510182,0.6977942526625046,0.6257008827338346
