split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
iid,iid,,gc_artifact_logreg,False,1200.0,0.5,0.24497278779234505,0.07350770664391114,0.5688041666666667,0.6292243680230513,0.6008234632991432
iid,iid,,gc_artifact_logreg,True,1200.0,0.5,0.24550485734150915,0.09800720822022184,0.5688041666666667,0.6292243680230513,0.6008234632991432
iid,iid,,kmer_logreg,False,1200.0,0.5,0.23553693194146988,0.17098108047723024,0.7488388888888888,0.7614032641722405,0.6545316778392226
iid,iid,,kmer_logreg,True,1200.0,0.5,0.20358887181888108,0.06048506381989082,0.7488388888888888,0.7614032641722405,0.6545316778392226
iid,iid,,kmer_metadata_logreg,False,1200.0,0.5,0.23085212634768004,0.1593468215835686,0.7574444444444445,0.7654048056522349,0.6569887353360311
iid,iid,,kmer_metadata_logreg,True,1200.0,0.5,0.20014812314154165,0.05107422421806639,0.7574444444444445,0.7654048056522349,0.6569887353360311
iid,iid,,tiny_cnn,False,1200.0,0.5,0.1744896704792471,0.058568426087149426,0.8201361111111112,0.8308170763363842,0.8111263893795639
iid,iid,,tiny_cnn,True,1200.0,0.5,0.1733484729645573,0.04671304479444901,0.8201361111111112,0.8308170763363842,0.8111263893795639
iid,iid,,axis_guard_cnn,False,1200.0,0.5,0.18002794633139063,0.0955684326092887,0.8230472222222222,0.8351204661947673,0.8176247156423935
iid,iid,,axis_guard_cnn,True,1200.0,0.5,0.17140924529769283,0.04063424884942449,0.8230472222222222,0.8351204661947673,0.8176247156423935
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,False,3000.0,0.5,0.24814543406041784,0.0959069149063913,0.5535531111111112,0.6194316195279393,0.5779225847392886
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,True,3000.0,0.5,0.25079439773178774,0.11393335810980776,0.5535531111111112,0.6194316195279393,0.5779225847392886
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,False,3000.0,0.5,0.28873178385739084,0.25601811187164136,0.7060286666666666,0.7064628440084628,0.6876520002342685
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,True,3000.0,0.5,0.2211138988209465,0.0558264614108926,0.7060286666666666,0.7064628440084628,0.6876520002342685
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,False,3000.0,0.5,0.2823818412510317,0.24280857548996615,0.7133651111111111,0.7152258561534195,0.6940951201593917
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,True,3000.0,0.5,0.21872035192836742,0.049755279201583534,0.7133651111111111,0.7152258561534195,0.6940951201593917
assay_heldout_cutrun,assay,CUT&RUN,tiny_cnn,False,3000.0,0.5,0.19447763656250563,0.06101920140730604,0.777239111111111,0.7956378415342629,0.7769349866927605
assay_heldout_cutrun,assay,CUT&RUN,tiny_cnn,True,3000.0,0.5,0.19342903284821228,0.043683989553492515,0.777239111111111,0.7956378415342629,0.7769349866927605
assay_heldout_cutrun,assay,CUT&RUN,axis_guard_cnn,False,3000.0,0.5,0.2190156356027306,0.13545645015168584,0.7654928888888888,0.7903325008112365,0.7768447642916474
assay_heldout_cutrun,assay,CUT&RUN,axis_guard_cnn,True,3000.0,0.5,0.2000384795369409,0.07373934102152523,0.7654928888888888,0.7903325008112365,0.7768447642916474
