split,model,calibrated,coverage,metric,mean,std,min,max,n_seeds
lab_heldout_haib,axis_guard_full,False,0.2,auprc,0.5151919335989661,0.24322210613436865,0.3196377504182525,0.7875425454976188,3
lab_heldout_haib,axis_guard_full,False,0.2,auroc,0.7147692062632792,0.09761676143207981,0.6234389179378593,0.8176455026455026,3
lab_heldout_haib,axis_guard_full,False,0.2,ece,0.15122218362307452,0.02126364910437966,0.1303295643630032,0.17283839112974533,3
lab_heldout_haib,axis_guard_full,False,0.2,brier,0.17574072437062047,0.01060315402387345,0.1694115278664422,0.18798182133986957,3
lab_heldout_haib,axis_guard_full,False,0.4,auprc,0.6426597948910521,0.12056325462107523,0.5310875841535551,0.770551584558522,3
lab_heldout_haib,axis_guard_full,False,0.4,auroc,0.7461595333099421,0.035784531946129676,0.7094958542637535,0.7809948181006806,3
lab_heldout_haib,axis_guard_full,False,0.4,ece,0.18440957035318536,0.039643816306595685,0.13865373142256798,0.208485226921389,3
lab_heldout_haib,axis_guard_full,False,0.4,brier,0.221611157030886,0.024361043513011552,0.1935281148810815,0.2370553536748598,3
lab_heldout_haib,axis_guard_full,False,0.6,auprc,0.7025199367315906,0.043085490888139295,0.6741167326696711,0.7520953005689324,3
lab_heldout_haib,axis_guard_full,False,0.6,auroc,0.7578774627339732,0.0038369552918862625,0.753540137343121,0.7608290253287066,3
lab_heldout_haib,axis_guard_full,False,0.6,ece,0.17886311245419484,0.04044013420186885,0.1321976990144728,0.20366512024600175,3
lab_heldout_haib,axis_guard_full,False,0.6,brier,0.23251973635634582,0.023568554152426473,0.2053099395155245,0.24656843850227275,3
lab_heldout_haib,axis_guard_full,False,0.8,auprc,0.7049212205223259,0.023818650055264883,0.6908395550028326,0.7324219680571395,3
lab_heldout_haib,axis_guard_full,False,0.8,auroc,0.7442647816709679,0.005674535610346395,0.7379947212227854,0.7490475712449621,3
lab_heldout_haib,axis_guard_full,False,0.8,ece,0.16471871591464124,0.034107637129911134,0.1257965074421029,0.1893881957422913,3
lab_heldout_haib,axis_guard_full,False,0.8,brier,0.23889136730475224,0.019240788015959586,0.21685691761592785,0.25237236844949973,3
lab_heldout_haib,axis_guard_full,False,1.0,auprc,0.6993205856135352,0.011550673463844755,0.6925714783246114,0.7126578306900506,3
lab_heldout_haib,axis_guard_full,False,1.0,auroc,0.7262478991596638,0.007155173745278201,0.7198834033613445,0.7339926470588235,3
