seed,split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
13,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.22566110831668967,0.13076055763464908,0.7383434873949579,0.6985849117961794,0.697635189693801
13,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.21548065488930412,0.0915091361085997,0.7383434873949579,0.6985849117961794,0.697635189693801
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.22393693320347252,0.11611731216377294,0.7339926470588235,0.7126578306900506,0.7081707061064763
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.20954084313460833,0.03793302705093054,0.7339926470588235,0.7126578306900506,0.7081707061064763
17,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.23516935946013817,0.158798330084165,0.7381207983193278,0.6992641978234341,0.695787481154603
17,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.21395515646880972,0.0857566160237096,0.7381207983193278,0.6992641978234341,0.695787481154603
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.25275124095900636,0.17952829181454258,0.7248676470588234,0.6927324478259433,0.6809561253945389
17,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.22510993581221392,0.10628671133918832,0.7248676470588234,0.6927324478259433,0.6809561253945389
23,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.22466003937245346,0.11860132484446799,0.725077731092437,0.6885150146036347,0.6885150146036347
23,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.22213202031317403,0.10895615599274626,0.725077731092437,0.6885150146036347,0.6885150146036347
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.2491486624982915,0.17153490522448056,0.7198834033613445,0.6925714783246114,0.688618170705979
23,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.23382368500345838,0.12704452515817616,0.7198834033613445,0.6925714783246114,0.688618170705979
