seed,split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
13,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,1952.0,0.5122950819672131,0.2235497405475489,0.08198465039709306,0.6987079831932772,0.6453562301492957,0.6417656134931351
13,lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,1952.0,0.5122950819672131,0.22812428691808836,0.10202493441797829,0.6987079831932772,0.6453562301492957,0.6417656134931351
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,1952.0,0.5122950819672131,0.2255357629786428,0.04960381272477937,0.6808377100840336,0.6271708804405449,0.6233488223074382
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,1952.0,0.5122950819672131,0.22564255985159518,0.06436772493994088,0.6808377100840336,0.6271708804405449,0.6233488223074382
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,1952.0,0.5122950819672131,0.22543001723108153,0.05778949982944695,0.6793718487394957,0.623841926863404,0.6222794015304036
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,1952.0,0.5122950819672131,0.22618697241488633,0.0663400784069815,0.6793718487394957,0.623841926863404,0.6222794015304036
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,1952.0,0.5122950819672131,0.22541545944038244,0.04810796707456353,0.6791050420168068,0.6251742429739077,0.6230922313722527
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,1952.0,0.5122950819672131,0.22581113529664806,0.06128820155590213,0.6791050420168068,0.6251742429739077,0.6230922313722527
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,1952.0,0.5122950819672131,0.22517695776017596,0.052189443012333074,0.6801491596638656,0.62543510727728,0.6238685614979933
13,lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,1952.0,0.5122950819672131,0.22579440640935353,0.06452663067024428,0.6801491596638656,0.62543510727728,0.6238685614979933
