split,split_type,holdout,model,calibrated,metric,mean,std,min,max,n_seeds
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,auprc,0.6240704973607342,0.0014574255464029275,0.6225352744374397,0.62543510727728,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,auroc,0.6802790616246499,0.000271753124163149,0.6800966386554621,0.6805913865546218,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,ece,0.10865461217275126,0.05307574863719325,0.052189443012333074,0.15752208461702544,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,brier,0.23603794512247697,0.012325190990372843,0.22517695776017596,0.2494333335352684,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,False,worst_group_auprc,0.6216099242160102,0.0020411658944663054,0.6198972733968735,0.6238685614979933,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,auprc,0.6240704973607342,0.0014574255464029275,0.6225352744374397,0.62543510727728,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,auroc,0.6802790616246499,0.000271753124163149,0.6800966386554621,0.6805913865546218,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,ece,0.1077271484823591,0.03926796567460984,0.06452663067024428,0.1412546691779556,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,brier,0.23369582283961807,0.008506012887449453,0.22579440640935353,0.24269905211241208,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_full,True,worst_group_auprc,0.6216099242160102,0.0020411658944663054,0.6198972733968735,0.6238685614979933,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,auprc,0.6239160458455127,0.001703096695839261,0.6219780380617921,0.6251742429739077,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,auroc,0.6799201680672269,0.0007081951157775519,0.6791050420168068,0.6803844537815127,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,ece,0.10399305997632668,0.05148646770086152,0.04810796707456353,0.14949973606214415,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,brier,0.2348413656680289,0.01039169084020154,0.22541545944038244,0.24598482866513824,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,False,worst_group_auprc,0.6213157499803025,0.0017975542348100577,0.6194978391142538,0.6230922313722527,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,auprc,0.6239160458455127,0.001703096695839261,0.6219780380617921,0.6251742429739077,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,auroc,0.6799201680672269,0.0007081951157775519,0.6791050420168068,0.6803844537815127,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,ece,0.10453862504782992,0.039472898559878435,0.06128820155590213,0.13862017540291682,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,brier,0.23359168645533948,0.008238387135283758,0.22581113529664806,0.2422220348549115,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_adv,True,worst_group_auprc,0.6213157499803025,0.0017975542348100577,0.6194978391142538,0.6230922313722527,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,auprc,0.6253453375594002,0.0021126589272672056,0.6230311837174869,0.6271708804405449,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,auroc,0.6808002450980393,0.0005440355979202697,0.6802384453781513,0.6813245798319327,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,ece,0.10613902423166939,0.055601755394979524,0.04960381272477937,0.16075777033817204,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,brier,0.2360620194928925,0.013142706269123769,0.2255357629786428,0.25079241614822106,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,False,worst_group_auprc,0.6223522418756173,0.0019369301702016144,0.6201199334745597,0.6235879698448541,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,auprc,0.6253453375594002,0.0021126589272672056,0.6230311837174869,0.6271708804405449,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,auroc,0.6808002450980393,0.0005440355979202697,0.6802384453781513,0.6813245798319327,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,ece,0.10599976991303317,0.04043974567500083,0.06436772493994088,0.14513115900190438,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,brier,0.23381070550360605,0.009103605500275848,0.22564255985159518,0.24362510821193978,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_cf,True,worst_group_auprc,0.6223522418756173,0.0019369301702016144,0.6201199334745597,0.6235879698448541,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,auprc,0.6227824060501618,0.0012177493158498406,0.6214520364186483,0.623841926863404,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,auroc,0.6795871848739495,0.00019951071337420885,0.6793718487394957,0.679765756302521,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,ece,0.11005275278375103,0.04926273680228089,0.05778949982944695,0.15563255475956153,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,brier,0.23566966437903628,0.011455009246330075,0.22543001723108153,0.24804065727578803,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,False,worst_group_auprc,0.6202840898541188,0.0017444876082966813,0.6190470901182861,0.6222794015304036,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,auprc,0.6227824060501618,0.0012177493158498406,0.6214520364186483,0.623841926863404,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,auroc,0.6795871848739495,0.00019951071337420885,0.6793718487394957,0.679765756302521,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,ece,0.1048548907948596,0.03722814441624229,0.0663400784069815,0.14064685645439995,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,brier,0.23352538185275748,0.008175153010022893,0.22618697241488633,0.2423369534322845,3
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_no_resid,True,worst_group_auprc,0.6202840898541188,0.0017444876082966813,0.6190470901182861,0.6222794015304036,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auprc,0.6435810942985268,0.001862011790335536,0.641642927762428,0.6453562301492957,3
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,auroc,0.6970847338935574,0.002674469039504677,0.6939978991596638,0.6987079831932772,3
