split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
iid,iid,,gc_artifact_logreg,False,1600.0,0.5,0.21711505906430595,0.06030969250054888,0.7126828125000001,0.6721240318740744,0.5506062737690628
iid,iid,,gc_artifact_logreg,True,1600.0,0.5,0.21780058429500382,0.06637691306379036,0.7126828125000001,0.6721240318740744,0.5506062737690628
iid,iid,,kmer_logreg,False,1600.0,0.5,0.2068399504846477,0.11892038399548172,0.778153125,0.7541111744456557,0.7066397620677786
iid,iid,,kmer_logreg,True,1600.0,0.5,0.19267891264628847,0.04016331016807491,0.778153125,0.7541111744456557,0.7066397620677786
iid,iid,,kmer_metadata_logreg,False,1600.0,0.5,0.2079777973082412,0.12210495567090347,0.777575,0.7532359340122261,0.6983585549088085
iid,iid,,kmer_metadata_logreg,True,1600.0,0.5,0.19264535120939083,0.03971404122030605,0.777575,0.7532359340122261,0.6983585549088085
iid,iid,,tiny_cnn,False,1600.0,0.5,0.1778086431382238,0.04363996649219189,0.8087890624999999,0.7766854233215879,0.6872935149061314
iid,iid,,tiny_cnn,True,1600.0,0.5,0.17803103447585264,0.050060222641812584,0.8087890624999999,0.7766854233215879,0.6872935149061314
iid,iid,,axis_guard_cnn,False,1600.0,0.5,0.1747489595154673,0.08016917336366533,0.825559375,0.7965816688927234,0.7446284159648195
iid,iid,,axis_guard_cnn,True,1600.0,0.5,0.16827938238160936,0.028789844231004443,0.825559375,0.7965816688927234,0.7446284159648195
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,False,2000.0,0.5,0.23743587228175034,0.11519409656831643,0.6660375,0.5884823539873894,0.5881978915713573
lab_heldout_haib,lab,"Richard Myers, HAIB",gc_artifact_logreg,True,2000.0,0.5,0.23703310966337313,0.11583874749764665,0.6660375,0.5884823539873894,0.5881978915713573
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,False,2000.0,0.5,0.22238698949177632,0.12934591978791762,0.7546329999999999,0.7423222627664664,0.713293374477475
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_logreg,True,2000.0,0.5,0.20355950895267788,0.05118695453163257,0.7546329999999999,0.7423222627664664,0.713293374477475
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,False,2000.0,0.5,0.22366122951391276,0.13282895404037576,0.755158,0.7434615000943735,0.7140062413762487
lab_heldout_haib,lab,"Richard Myers, HAIB",kmer_metadata_logreg,True,2000.0,0.5,0.2036477958429326,0.053637619037273467,0.755158,0.7434615000943735,0.7140062413762487
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,False,2000.0,0.5,0.2451057796855744,0.19671006622820275,0.7547559999999999,0.7020841575571247,0.6997242845068091
lab_heldout_haib,lab,"Richard Myers, HAIB",tiny_cnn,True,2000.0,0.5,0.2091097701101496,0.09245481303279458,0.7547559999999999,0.7020841575571247,0.6997242845068091
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,False,2000.0,0.5,0.21076468908959203,0.10755311267415531,0.766629,0.7312494506314751,0.7176443177388363
lab_heldout_haib,lab,"Richard Myers, HAIB",axis_guard_cnn,True,2000.0,0.5,0.19581735496386427,0.031515315655988634,0.766629,0.7312494506314751,0.7176443177388363
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,2000.0,0.5,0.20666138159671385,0.04794622023747517,0.7459574999999999,0.7218000961945887,0.7218000961945887
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,2000.0,0.5,0.20643443105489168,0.05301479817964282,0.7459574999999999,0.7218000961945887,0.7218000961945887
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,2000.0,0.5,0.23444196671157624,0.15100279710274503,0.735458,0.7320517682607338,0.7320517682607338
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,2000.0,0.5,0.21022439949692295,0.05255415831199382,0.735458,0.7320517682607338,0.7320517682607338
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,2000.0,0.5,0.2348872230399474,0.15218074338995344,0.736097,0.7334928835737466,0.7334928835737466
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,2000.0,0.5,0.21031463428631295,0.055965090073362894,0.736097,0.7334928835737466,0.7334928835737466
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,False,2000.0,0.5,0.1801235255057626,0.035522938112728296,0.8063779999999999,0.7844943764965129,0.7844943764965129
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,True,2000.0,0.5,0.17970179047204982,0.02892594762950763,0.8063779999999999,0.7844943764965129,0.7844943764965129
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,False,2000.0,0.5,0.18744498620226788,0.09081008313439816,0.804919,0.7667785587648343,0.7667785587648343
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,True,2000.0,0.5,0.1789903744297373,0.023633179708487457,0.804919,0.7667785587648343,0.7667785587648343
