split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,1.0,1600.0,0.5,0.21711505906430598,0.060309692500548844,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,False,0.8,1280.0,0.4859375,0.20920788731242018,0.06073251701124911,0.74144220526002,0.6845186709109441
iid,gc_artifact_logreg,False,0.6,960.0,0.45729166666666665,0.1941699855906943,0.052612715297737145,0.7776551139170774,0.6972969774913569
iid,gc_artifact_logreg,False,0.4,640.0,0.45,0.1733863608449431,0.07151444171401107,0.8151090988005051,0.7228670167482841
iid,gc_artifact_logreg,False,0.2,320.0,0.4625,0.15146749641400073,0.09820500662027923,0.8493478944060339,0.7561657123159534
iid,gc_artifact_logreg,True,1.0,1600.0,0.5,0.2178005842950038,0.06637691306379026,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,True,0.8,1280.0,0.484375,0.21001291114128975,0.06681618745481907,0.7412023460410557,0.6835941209559993
iid,gc_artifact_logreg,True,0.6,960.0,0.4552083333333333,0.19484683093046662,0.06057861825320246,0.7774829250364251,0.6961191614647773
iid,gc_artifact_logreg,True,0.4,640.0,0.44375,0.17296188957933598,0.0774414110790207,0.8166096296882418,0.7214603042825439
iid,gc_artifact_logreg,True,0.2,320.0,0.446875,0.14484497331663315,0.10863863323187982,0.8573742641539251,0.7562340877060201
iid,kmer_logreg,False,1.0,1600.0,0.5,0.2068399504846477,0.11892038399548174,0.778153125,0.7541111744456557
iid,kmer_logreg,False,0.8,1280.0,0.4953125,0.19542009153051976,0.1321426285774946,0.8046923069410398,0.7743185140260553
iid,kmer_logreg,False,0.6,960.0,0.48125,0.1754897704727399,0.13129826906424064,0.8261704827969888,0.7891829915441384
iid,kmer_logreg,False,0.4,640.0,0.478125,0.16487918084460296,0.1443457441922137,0.8509451684865563,0.8105615655004241
iid,kmer_logreg,False,0.2,320.0,0.48125,0.13376772559206063,0.1265606091959494,0.8941871381630417,0.8467066403855404
iid,kmer_logreg,True,1.0,1600.0,0.5,0.19267891264628845,0.040163310168074944,0.778153125,0.7541111744456557
iid,kmer_logreg,True,0.8,1280.0,0.49375,0.17851012652716464,0.04264788906883395,0.8046716283794343,0.7737937742192653
iid,kmer_logreg,True,0.6,960.0,0.4739583333333333,0.1597276725184872,0.0413709386571772,0.8259384180176259,0.786856595100864
iid,kmer_logreg,True,0.4,640.0,0.4734375,0.1457839313819096,0.04278409580957766,0.8508289998139279,0.8092115657378078
iid,kmer_logreg,True,0.2,320.0,0.459375,0.11570385876188938,0.044809897901933536,0.8955605363532697,0.8429511146760429
iid,kmer_metadata_logreg,False,1.0,1600.0,0.5,0.20797779730824126,0.12210495567090346,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,False,0.8,1280.0,0.490625,0.19692118604904546,0.1349268859493546,0.8040204564104567,0.7717071058502517
iid,kmer_metadata_logreg,False,0.6,960.0,0.4895833333333333,0.18239961382297196,0.1436782468039502,0.8279504993486756,0.7918907713540413
iid,kmer_metadata_logreg,False,0.4,640.0,0.4703125,0.1659367273060719,0.14687496385098026,0.8560354374307863,0.8111817793058836
iid,kmer_metadata_logreg,False,0.2,320.0,0.471875,0.11290301884199438,0.10484217235897857,0.9001528273051451,0.8464329702728428
iid,kmer_metadata_logreg,True,1.0,1600.0,0.5,0.19264535120939083,0.03971404122030604,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,True,0.8,1280.0,0.4921875,0.17901649508810638,0.04130368813698237,0.8040732600732601,0.7722551174783496
iid,kmer_metadata_logreg,True,0.6,960.0,0.48020833333333335,0.16060688338276458,0.0410577802963301,0.8275118566851708,0.7887241172695443
iid,kmer_metadata_logreg,True,0.4,640.0,0.4609375,0.14384862522449682,0.0412741619904929,0.8562122328666175,0.8089040675754698
iid,kmer_metadata_logreg,True,0.2,320.0,0.45625,0.10453291884994838,0.042353514235220636,0.9001338371909935,0.8427957040408204
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,1.0,2000.0,0.5,0.23743587228175037,0.11519409656831645,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,0.8,1600.0,0.464375,0.23460358429087003,0.10737740359446085,0.6787449097056777,0.5652449924703732
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,0.6,1200.0,0.4141666666666667,0.22744930895595417,0.09973815428310069,0.6946744478249296,0.5316985532537764
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,0.4,800.0,0.34875,0.21350956646054933,0.10131056356971299,0.7180704325153585,0.48625261575044854
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,0.2,400.0,0.2375,0.19297244541450026,0.16157411663350646,0.757411561691113,0.4050100448097805
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,1.0,2000.0,0.5,0.23703310966337313,0.11583874749764668,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,0.8,1600.0,0.463125,0.23399586864495006,0.10641722950994795,0.6778815714849046,0.5637181950527972
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,0.6,1200.0,0.4066666666666667,0.2261428485590121,0.09215963578655866,0.689408155277215,0.5218913861460867
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,0.4,800.0,0.3375,0.21210311267814447,0.0926278353732553,0.7104751921733055,0.4705326115752969
lab_heldout_richard_myers__haib,gc_artifact_logreg,True,0.2,400.0,0.2325,0.18490564674104362,0.15415622253751457,0.7565234142411824,0.4002453047154417
