seed,split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
13,lab_heldout_haib,tiny_cnn,False,1.0,1952.0,0.5122950819672131,0.22566110831668967,0.13076055763464908,0.7383434873949579,0.6985849117961794
13,lab_heldout_haib,tiny_cnn,False,0.8,1562.0,0.4788732394366197,0.21837390397040046,0.12738709482537264,0.7601252808472059,0.6972289381400388
13,lab_heldout_haib,tiny_cnn,False,0.6,1171.0,0.4150298889837746,0.20378595009452755,0.10485628515443772,0.7644648703853894,0.6657995894342753
13,lab_heldout_haib,tiny_cnn,False,0.4,781.0,0.3393085787451985,0.18640782782365134,0.1039369903199575,0.7658768465701331,0.6258352401465445
13,lab_heldout_haib,tiny_cnn,False,0.2,390.0,0.24358974358974358,0.14328239704981385,0.08050863268092659,0.7701694915254237,0.598249253994805
13,lab_heldout_haib,tiny_cnn,True,1.0,1952.0,0.5122950819672131,0.21548065488930412,0.09150913610859972,0.7383434873949579,0.6985849117961794
13,lab_heldout_haib,tiny_cnn,True,0.8,1562.0,0.4788732394366197,0.20607142804612394,0.07795279207689947,0.7600448041624512,0.6971425537180446
13,lab_heldout_haib,tiny_cnn,True,0.6,1171.0,0.44235695986336465,0.19204100293446852,0.07225715672903862,0.7806175241091016,0.6937815001232961
13,lab_heldout_haib,tiny_cnn,True,0.4,781.0,0.3866837387964149,0.17126365428119678,0.05704866610281155,0.7929875983353841,0.6751153718840691
13,lab_heldout_haib,tiny_cnn,True,0.2,390.0,0.2846153846153846,0.1525678930994827,0.06967622202749585,0.7994123155413477,0.6446926390765533
13,lab_heldout_haib,axis_guard_full,False,1.0,1952.0,0.5122950819672131,0.22393693320347252,0.11611731216377294,0.7339926470588235,0.7126578306900506
13,lab_heldout_haib,axis_guard_full,False,0.8,1562.0,0.530729833546735,0.21685691761592785,0.1257965074421029,0.7490475712449621,0.7324219680571395
13,lab_heldout_haib,axis_guard_full,False,0.6,1171.0,0.5533731853116994,0.2053099395155245,0.1321976990144728,0.7608290253287066,0.7520953005689324
13,lab_heldout_haib,axis_guard_full,False,0.4,781.0,0.5620998719590269,0.1935281148810815,0.13865373142256798,0.7809948181006806,0.770551584558522
13,lab_heldout_haib,axis_guard_full,False,0.2,390.0,0.5384615384615384,0.1694115278664422,0.1303295643630032,0.8176455026455026,0.7875425454976188
13,lab_heldout_haib,axis_guard_full,True,1.0,1952.0,0.5122950819672131,0.20954084313460833,0.03793302705093057,0.7339926470588235,0.7126578306900506
13,lab_heldout_haib,axis_guard_full,True,0.8,1562.0,0.5115236875800256,0.20004184753771634,0.04017221590439034,0.7573014761243165,0.7292676358469686
13,lab_heldout_haib,axis_guard_full,True,0.6,1171.0,0.5055508112724167,0.18600599977726245,0.041858847286620544,0.7823134014843859,0.7454625952099474
13,lab_heldout_haib,axis_guard_full,True,0.4,781.0,0.4686299615877081,0.16619265067771996,0.043643576902119924,0.808236223582856,0.752527851650174
13,lab_heldout_haib,axis_guard_full,True,0.2,390.0,0.35128205128205126,0.1545437204907382,0.06942767383397848,0.8114884163757538,0.7148755608665109
