split,model,calibrated,coverage,metric,mean,std,min,max,n_seeds
lab_heldout_haib,axis_guard_full,False,0.2,auprc,0.7875425454976188,0.0,0.7875425454976188,0.7875425454976188,1
lab_heldout_haib,axis_guard_full,False,0.2,auroc,0.8176455026455026,0.0,0.8176455026455026,0.8176455026455026,1
lab_heldout_haib,axis_guard_full,False,0.2,ece,0.1303295643630032,0.0,0.1303295643630032,0.1303295643630032,1
lab_heldout_haib,axis_guard_full,False,0.2,brier,0.1694115278664422,0.0,0.1694115278664422,0.1694115278664422,1
lab_heldout_haib,axis_guard_full,False,0.4,auprc,0.770551584558522,0.0,0.770551584558522,0.770551584558522,1
lab_heldout_haib,axis_guard_full,False,0.4,auroc,0.7809948181006806,0.0,0.7809948181006806,0.7809948181006806,1
lab_heldout_haib,axis_guard_full,False,0.4,ece,0.13865373142256798,0.0,0.13865373142256798,0.13865373142256798,1
lab_heldout_haib,axis_guard_full,False,0.4,brier,0.1935281148810815,0.0,0.1935281148810815,0.1935281148810815,1
lab_heldout_haib,axis_guard_full,False,0.6,auprc,0.7520953005689324,0.0,0.7520953005689324,0.7520953005689324,1
lab_heldout_haib,axis_guard_full,False,0.6,auroc,0.7608290253287066,0.0,0.7608290253287066,0.7608290253287066,1
lab_heldout_haib,axis_guard_full,False,0.6,ece,0.1321976990144728,0.0,0.1321976990144728,0.1321976990144728,1
lab_heldout_haib,axis_guard_full,False,0.6,brier,0.2053099395155245,0.0,0.2053099395155245,0.2053099395155245,1
lab_heldout_haib,axis_guard_full,False,0.8,auprc,0.7324219680571395,0.0,0.7324219680571395,0.7324219680571395,1
lab_heldout_haib,axis_guard_full,False,0.8,auroc,0.7490475712449621,0.0,0.7490475712449621,0.7490475712449621,1
lab_heldout_haib,axis_guard_full,False,0.8,ece,0.1257965074421029,0.0,0.1257965074421029,0.1257965074421029,1
lab_heldout_haib,axis_guard_full,False,0.8,brier,0.21685691761592785,0.0,0.21685691761592785,0.21685691761592785,1
lab_heldout_haib,axis_guard_full,False,1.0,auprc,0.7126578306900506,0.0,0.7126578306900506,0.7126578306900506,1
lab_heldout_haib,axis_guard_full,False,1.0,auroc,0.7339926470588235,0.0,0.7339926470588235,0.7339926470588235,1
lab_heldout_haib,axis_guard_full,False,1.0,ece,0.11611731216377294,0.0,0.11611731216377294,0.11611731216377294,1
lab_heldout_haib,axis_guard_full,False,1.0,brier,0.22393693320347252,0.0,0.22393693320347252,0.22393693320347252,1
lab_heldout_haib,axis_guard_full,True,0.2,auprc,0.7148755608665109,0.0,0.7148755608665109,0.7148755608665109,1
lab_heldout_haib,axis_guard_full,True,0.2,auroc,0.8114884163757538,0.0,0.8114884163757538,0.8114884163757538,1
lab_heldout_haib,axis_guard_full,True,0.2,ece,0.06942767383397848,0.0,0.06942767383397848,0.06942767383397848,1
lab_heldout_haib,axis_guard_full,True,0.2,brier,0.1545437204907382,0.0,0.1545437204907382,0.1545437204907382,1
lab_heldout_haib,axis_guard_full,True,0.4,auprc,0.752527851650174,0.0,0.752527851650174,0.752527851650174,1
lab_heldout_haib,axis_guard_full,True,0.4,auroc,0.808236223582856,0.0,0.808236223582856,0.808236223582856,1
lab_heldout_haib,axis_guard_full,True,0.4,ece,0.043643576902119924,0.0,0.043643576902119924,0.043643576902119924,1
lab_heldout_haib,axis_guard_full,True,0.4,brier,0.16619265067771996,0.0,0.16619265067771996,0.16619265067771996,1
lab_heldout_haib,axis_guard_full,True,0.6,auprc,0.7454625952099474,0.0,0.7454625952099474,0.7454625952099474,1
lab_heldout_haib,axis_guard_full,True,0.6,auroc,0.7823134014843859,0.0,0.7823134014843859,0.7823134014843859,1
lab_heldout_haib,axis_guard_full,True,0.6,ece,0.041858847286620544,0.0,0.041858847286620544,0.041858847286620544,1
lab_heldout_haib,axis_guard_full,True,0.6,brier,0.18600599977726245,0.0,0.18600599977726245,0.18600599977726245,1
lab_heldout_haib,axis_guard_full,True,0.8,auprc,0.7292676358469686,0.0,0.7292676358469686,0.7292676358469686,1
lab_heldout_haib,axis_guard_full,True,0.8,auroc,0.7573014761243165,0.0,0.7573014761243165,0.7573014761243165,1
lab_heldout_haib,axis_guard_full,True,0.8,ece,0.04017221590439034,0.0,0.04017221590439034,0.04017221590439034,1
lab_heldout_haib,axis_guard_full,True,0.8,brier,0.20004184753771634,0.0,0.20004184753771634,0.20004184753771634,1
lab_heldout_haib,axis_guard_full,True,1.0,auprc,0.7126578306900506,0.0,0.7126578306900506,0.7126578306900506,1
lab_heldout_haib,axis_guard_full,True,1.0,auroc,0.7339926470588235,0.0,0.7339926470588235,0.7339926470588235,1
lab_heldout_haib,axis_guard_full,True,1.0,ece,0.03793302705093057,0.0,0.03793302705093057,0.03793302705093057,1
lab_heldout_haib,axis_guard_full,True,1.0,brier,0.20954084313460833,0.0,0.20954084313460833,0.20954084313460833,1
lab_heldout_haib,tiny_cnn,False,0.2,auprc,0.598249253994805,0.0,0.598249253994805,0.598249253994805,1
lab_heldout_haib,tiny_cnn,False,0.2,auroc,0.7701694915254237,0.0,0.7701694915254237,0.7701694915254237,1
