split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,kmer_logreg,False,tf,JUND,200.0,0.535,0.21869194387766708,0.17135448221551622,0.751381770676314,0.7170116761506546
iid,kmer_logreg,False,tf,MAX,213.0,0.49295774647887325,0.19222052208677468,0.11016630204672499,0.8015873015873015,0.7882787879808493
iid,kmer_logreg,False,tf,MYC,182.0,0.4945054945054945,0.20179597697856255,0.12602003730349076,0.7820048309178743,0.7782080626892038
iid,kmer_logreg,False,tf,REST,185.0,0.518918918918919,0.19905459506429088,0.12974387674929228,0.7977528089887641,0.7994686880813822
iid,kmer_logreg,False,tf,SPI1,206.0,0.4368932038834951,0.19625980008508845,0.14065654727490795,0.7913793103448276,0.7066397620677786
iid,kmer_logreg,False,tf_family,bhlh_zip,395.0,0.4936708860759494,0.19663250383438324,0.10847344910671121,0.7928974358974359,0.7814602276743279
iid,kmer_logreg,False,tf_family,bzip,200.0,0.535,0.21869194387766708,0.17135448221551622,0.751381770676314,0.7170116761506546
iid,kmer_logreg,False,tf_family,ets,206.0,0.4368932038834951,0.19625980008508845,0.14065654727490795,0.7913793103448276,0.7066397620677786
iid,kmer_logreg,False,tf_family,gata,402.0,0.5049751243781094,0.19625090315931587,0.1250848106713975,0.8009753199495012,0.791691898077141
iid,kmer_logreg,False,tf_family,zinc_finger,397.0,0.5163727959697733,0.227237559440172,0.1645839445346532,0.7489583333333334,0.7499990320310681
iid,kmer_logreg,False,negative_strategy,gc_accessibility,1600.0,0.5,0.2068399504846477,0.11892038399548172,0.778153125,0.7541111744456557
iid,kmer_logreg,True,assay,TF ChIP-seq,1600.0,0.5,0.19267891264628847,0.04016331016807491,0.778153125,0.7541111744456557
iid,kmer_logreg,True,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.19222850447872558,0.050325553269905204,0.7799250652231379,0.7603491043202271
iid,kmer_logreg,True,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.19394434511706035,0.048661690303852964,0.773299118902716,0.7375741560853939
iid,kmer_logreg,True,species,Homo sapiens,1600.0,0.5,0.19267891264628847,0.04016331016807491,0.778153125,0.7541111744456557
iid,kmer_logreg,True,tf,CTCF,212.0,0.5141509433962265,0.22681425975199795,0.1255834889734624,0.7149728333481785,0.7071104396579265
iid,kmer_logreg,True,tf,GATA1,188.0,0.48404255319148937,0.16097237249212148,0.08119886178663022,0.8474000226577545,0.8291543241813336
iid,kmer_logreg,True,tf,GATA2,214.0,0.5233644859813084,0.20050985070387728,0.08121471761671417,0.7586659663865547,0.7644455790193381
iid,kmer_logreg,True,tf,JUND,200.0,0.535,0.2043352368584345,0.12246233577946658,0.751381770676314,0.7170116761506546
iid,kmer_logreg,True,tf,MAX,213.0,0.49295774647887325,0.1818691540724409,0.06502126648004629,0.8015873015873015,0.7882787879808493
iid,kmer_logreg,True,tf,MYC,182.0,0.4945054945054945,0.19099362754803298,0.09133450727184987,0.7820048309178743,0.7782080626892038
iid,kmer_logreg,True,tf,REST,185.0,0.518918918918919,0.18441183127618915,0.0652883783483768,0.7977528089887641,0.7994686880813822
iid,kmer_logreg,True,tf,SPI1,206.0,0.4368932038834951,0.18712386843949322,0.07680026180690486,0.7913793103448276,0.7066397620677786
iid,kmer_logreg,True,tf_family,bhlh_zip,395.0,0.4936708860759494,0.1860733418510681,0.03470777445948321,0.7928974358974359,0.7814602276743279
iid,kmer_logreg,True,tf_family,bzip,200.0,0.535,0.2043352368584345,0.12246233577946658,0.751381770676314,0.7170116761506546
iid,kmer_logreg,True,tf_family,ets,206.0,0.4368932038834951,0.18712386843949322,0.07680026180690486,0.7913793103448276,0.7066397620677786
iid,kmer_logreg,True,tf_family,gata,402.0,0.5049751243781094,0.18201968676405114,0.05965405444249441,0.8009753199495012,0.791691898077141
iid,kmer_logreg,True,tf_family,zinc_finger,397.0,0.5163727959697733,0.20705494169652025,0.08326702784745772,0.7489583333333334,0.7499990320310681
iid,kmer_logreg,True,negative_strategy,gc_accessibility,1600.0,0.5,0.19267891264628847,0.04016331016807491,0.778153125,0.7541111744456557
iid,kmer_metadata_logreg,False,assay,TF ChIP-seq,1600.0,0.5,0.2079777973082412,0.12210495567090347,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,False,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.20593671172040265,0.12317508900349264,0.7826460481099656,0.7631029487723981
iid,kmer_metadata_logreg,False,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.2137122758645496,0.15571910233441255,0.7670542283586157,0.7305848524265539
iid,kmer_metadata_logreg,False,species,Homo sapiens,1600.0,0.5,0.2079777973082412,0.12210495567090347,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,False,tf,CTCF,212.0,0.5141509433962265,0.24729344267361197,0.18322932085095792,0.7139930524628129,0.7059578806585584
iid,kmer_metadata_logreg,False,tf,GATA1,188.0,0.48404255319148937,0.16700735434372288,0.12669169833363847,0.8479664665231675,0.8291725802602139
iid,kmer_metadata_logreg,False,tf,GATA2,214.0,0.5233644859813084,0.22281954302518098,0.16770815693123095,0.7549894957983194,0.7627554940282126
iid,kmer_metadata_logreg,False,tf,JUND,200.0,0.535,0.22080417357901308,0.15576842858537018,0.7517837403276052,0.7180127673234122
iid,kmer_metadata_logreg,False,tf,MAX,213.0,0.49295774647887325,0.19307552681823856,0.12967880367029982,0.804320987654321,0.7942121362626118
iid,kmer_metadata_logreg,False,tf,MYC,182.0,0.4945054945054945,0.20261002792842633,0.15197354396683488,0.783574879227053,0.7827697036309639
iid,kmer_metadata_logreg,False,tf,REST,185.0,0.518918918918919,0.20011232624642394,0.1287325228889784,0.8017322097378278,0.8054107161720188
iid,kmer_metadata_logreg,False,tf,SPI1,206.0,0.4368932038834951,0.20425132842583546,0.15048959293617312,0.7833333333333333,0.6983585549088085
iid,kmer_metadata_logreg,False,tf_family,bhlh_zip,395.0,0.4936708860759494,0.1974686387221732,0.1319161355440771,0.7948974358974359,0.7868562454420788
iid,kmer_metadata_logreg,False,tf_family,bzip,200.0,0.535,0.22080417357901308,0.15576842858537018,0.7517837403276052,0.7180127673234122
iid,kmer_metadata_logreg,False,tf_family,ets,206.0,0.4368932038834951,0.20425132842583546,0.15048959293617312,0.7833333333333333,0.6983585549088085
iid,kmer_metadata_logreg,False,tf_family,gata,402.0,0.5049751243781094,0.19671832045773294,0.12026783000019028,0.8001336732925712,0.7882958395399874
iid,kmer_metadata_logreg,False,tf_family,zinc_finger,397.0,0.5163727959697733,0.22530728010678633,0.15155173463613605,0.7533028455284553,0.7526378098840016
iid,kmer_metadata_logreg,False,negative_strategy,gc_accessibility,1600.0,0.5,0.2079777973082412,0.12210495567090347,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,True,assay,TF ChIP-seq,1600.0,0.5,0.19264535120939083,0.03971404122030605,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,True,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.19125080311662415,0.052779852602549276,0.7826460481099656,0.7631029487723981
iid,kmer_metadata_logreg,True,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.19656336727954496,0.08094047311043748,0.7670542283586157,0.7305848524265539
iid,kmer_metadata_logreg,True,species,Homo sapiens,1600.0,0.5,0.19264535120939083,0.03971404122030605,0.777575,0.7532359340122261
iid,kmer_metadata_logreg,True,tf,CTCF,212.0,0.5141509433962265,0.22282828532246735,0.09723231814634141,0.7139930524628129,0.7059578806585584
iid,kmer_metadata_logreg,True,tf,GATA1,188.0,0.48404255319148937,0.16101193296103133,0.07443089126140935,0.8479664665231675,0.8291725802602139
iid,kmer_metadata_logreg,True,tf,GATA2,214.0,0.5233644859813084,0.20045326604971178,0.09781463981406667,0.7549894957983194,0.7627554940282126
iid,kmer_metadata_logreg,True,tf,JUND,200.0,0.535,0.2048578557046796,0.14025301172829588,0.7517837403276052,0.7180127673234122
iid,kmer_metadata_logreg,True,tf,MAX,213.0,0.49295774647887325,0.18142931113838734,0.09331397745273534,0.804320987654321,0.7942121362626118
iid,kmer_metadata_logreg,True,tf,MYC,182.0,0.4945054945054945,0.19063280084618606,0.09885508643427152,0.783574879227053,0.7827697036309639
iid,kmer_metadata_logreg,True,tf,REST,185.0,0.518918918918919,0.1829995871630337,0.062474928961296666,0.8017322097378278,0.8054107161720188
iid,kmer_metadata_logreg,True,tf,SPI1,206.0,0.4368932038834951,0.1925224044794687,0.10928008126185174,0.7833333333333333,0.6983585549088085
iid,kmer_metadata_logreg,True,tf_family,bhlh_zip,395.0,0.4936708860759494,0.1856699063961579,0.07559731276547822,0.7948974358974359,0.7868562454420788
iid,kmer_metadata_logreg,True,tf_family,bzip,200.0,0.535,0.2048578557046796,0.14025301172829588,0.7517837403276052,0.7180127673234122
iid,kmer_metadata_logreg,True,tf_family,ets,206.0,0.4368932038834951,0.1925224044794687,0.10928008126185174,0.7833333333333333,0.6983585549088085
iid,kmer_metadata_logreg,True,tf_family,gata,402.0,0.5049751243781094,0.1820080655007766,0.0665239969806859,0.8001336732925712,0.7882958395399874
iid,kmer_metadata_logreg,True,tf_family,zinc_finger,397.0,0.5163727959697733,0.2042683126285247,0.06558499122728789,0.7533028455284553,0.7526378098840016
iid,kmer_metadata_logreg,True,negative_strategy,gc_accessibility,1600.0,0.5,0.19264535120939083,0.03971404122030605,0.777575,0.7532359340122261
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,assay,TF ChIP-seq,2000.0,0.5,0.23743587228175034,0.11519409656831643,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,lab,"Richard Myers, HAIB",2000.0,0.5,0.23743587228175034,0.11519409656831643,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,species,Homo sapiens,2000.0,0.5,0.23743587228175034,0.11519409656831643,0.6660375,0.5884823539873894
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,tf,GATA2,1000.0,0.5,0.23779963370486165,0.13007089601784405,0.6693580000000001,0.5881978915713573
lab_heldout_richard_myers__haib,gc_artifact_logreg,False,tf,SPI1,1000.0,0.5,0.23707211085863902,0.1007748579071662,0.66245,0.5909336529097182
