dataset_id,source,tf,species,assembly,assay,lab,biosample,cell_type,processed_peak_url,control_url,notes,citation_url
ENCSR000EGM,ENCODE,CTCF,Homo sapiens,hg19,TF ChIP-seq,"Michael Snyder, Stanford",K562,cell line,https://www.encodeproject.org/files/ENCFF002CWL/@@download/ENCFF002CWL.bed.gz,https://www.encodeproject.org/experiments/ENCSR000EHI/,"Archived hg19 optimal IDR peaks ENCFF002CWL; K562 ChIP anchor matched to hg19 CUT&RUN fragments.",https://www.encodeproject.org/experiments/ENCSR000EGM/
ENCSR000EFV,ENCODE,MAX,Homo sapiens,hg19,TF ChIP-seq,"Michael Snyder, Stanford",K562,cell line,https://www.encodeproject.org/files/ENCFF002CXD/@@download/ENCFF002CXD.bed.gz,https://www.encodeproject.org/experiments/ENCSR000EHI/,"Archived hg19 optimal IDR peaks ENCFF002CXD; K562 ChIP anchor matched to hg19 CUT&RUN fragments.",https://www.encodeproject.org/experiments/ENCSR000EFV/
ENCSR000EGS,ENCODE,MYC,Homo sapiens,hg19,TF ChIP-seq,"Michael Snyder, Stanford",K562,cell line,https://www.encodeproject.org/files/ENCFF002CWF/@@download/ENCFF002CWF.bed.gz,https://www.encodeproject.org/experiments/ENCSR000FBB/,"Archived hg19 optimal IDR peaks ENCFF002CWF; IFNg30-treated K562 MYC ChIP row included as requested hg19 MYC anchor.",https://www.encodeproject.org/experiments/ENCSR000EGS/
GSM2433139,GEO:GSE84474,CTCF,Homo sapiens,hg19,CUT&RUN,"Skene/Henikoff, Fred Hutch",K562,cell line,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433139&format=file&file=GSM2433139%5FCut%5Fand%5FRun%5FCTCF%5F3min%2Ebed%2Egz,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433147&format=file&file=GSM2433147%5FCut%5Fand%5FRun%5Fno%5Fantibody%5Fsize%5Fselected%2Ebed%2Egz,"Processed BED is fragment intervals rather than called peaks; no-antibody control is same series but not time-matched to CTCF 3min; liftover or reprocess for GRCh38 comparison.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2433139
GSM2433145,GEO:GSE84474,MAX,Homo sapiens,hg19,CUT&RUN,"Skene/Henikoff, Fred Hutch",K562,cell line,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433145&format=file&file=GSM2433145%5FCut%5Fand%5FRun%5FMax%5Fsize%5Fselected%2Ebed%2Egz,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433147&format=file&file=GSM2433147%5FCut%5Fand%5FRun%5Fno%5Fantibody%5Fsize%5Fselected%2Ebed%2Egz,"Processed BED is fragment intervals rather than called peaks; matched no-antibody size-selected control available; liftover or reprocess for GRCh38 comparison.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2433145
GSM2433146,GEO:GSE84474,MYC,Homo sapiens,hg19,CUT&RUN,"Skene/Henikoff, Fred Hutch",K562,cell line,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433146&format=file&file=GSM2433146%5FCut%5Fand%5FRun%5FMyc%5Fsize%5Fselected%2Ebed%2Egz,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM2433147&format=file&file=GSM2433147%5FCut%5Fand%5FRun%5Fno%5Fantibody%5Fsize%5Fselected%2Ebed%2Egz,"Processed BED is fragment intervals rather than called peaks; matched no-antibody size-selected control available; liftover or reprocess for GRCh38 comparison.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2433146
