dataset_id,source,tf,species,assembly,assay,lab,biosample,cell_type,processed_peak_url,control_url,notes,citation_url
ENCSR000EGM,ENCODE,CTCF,Homo sapiens,GRCh38,TF ChIP-seq,"Michael Snyder, Stanford",K562,K562,https://www.encodeproject.org/files/ENCFF396BZQ/@@download/ENCFF396BZQ.bed.gz,https://www.encodeproject.org/experiments/ENCSR000EHI/,"Verified ENCODE CTCF K562 TF ChIP-seq experiment; GRCh38 optimal IDR thresholded BED file from ENCODE API.",https://www.encodeproject.org/experiments/ENCSR000EGM/
ENCSR000DWE,ENCODE,CTCF,Homo sapiens,GRCh38,TF ChIP-seq,"John Stamatoyannopoulos, UW",K562,K562,https://www.encodeproject.org/files/ENCFF843VHC/@@download/ENCFF843VHC.bed.gz,https://www.encodeproject.org/experiments/ENCSR000EHI/,"Verified ENCODE CTCF K562 TF ChIP-seq experiment; GRCh38 optimal IDR thresholded BED file from ENCODE API.",https://www.encodeproject.org/experiments/ENCSR000DWE/
